epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.204,0.481,1.6876,0.88873,0.00955,0.95091,0.69803,0.66209,0.31518,3.01532,0.77007,0.000465508,0.000465508,0.000465508
2,645.325,0.3867,0.76266,0.85606,0.99214,0.84441,0.96649,0.91759,0.33017,1.9809,0.77703,0.000923192,0.000923192,0.000923192
3,973.101,0.37635,0.69486,0.85469,0.97719,0.98572,0.99477,0.94898,0.31314,0.95331,0.77872,0.00136201,0.00136201,0.00136201
4,1276.56,0.36301,0.62488,0.853,0.99881,0.99996,0.995,0.98034,0.23572,0.61915,0.76505,0.00134412,0.00134412,0.00134412
5,1637.71,0.33465,0.56465,0.84454,0.99562,1,0.995,0.96934,0.2878,0.60173,0.76977,0.00131582,0.00131582,0.00131582
6,1961.76,0.32805,0.52281,0.8521,0.99806,1,0.995,0.98294,0.22572,0.49336,0.76557,0.00128753,0.00128753,0.00128753
7,2297.4,0.3007,0.47417,0.84056,0.99754,1,0.995,0.98577,0.20708,0.43639,0.7605,0.00125923,0.00125923,0.00125923
8,2605.08,0.28893,0.44255,0.84048,0.99725,0.99986,0.99498,0.99158,0.19411,0.40434,0.75959,0.00123094,0.00123094,0.00123094
9,2910.96,0.29297,0.41822,0.83404,0.99962,1,0.995,0.99059,0.20243,0.36734,0.76008,0.00120265,0.00120265,0.00120265
10,3172.45,0.28565,0.39232,0.83932,0.99958,1,0.995,0.99342,0.16788,0.31022,0.75745,0.00117435,0.00117435,0.00117435
11,3484.91,0.27093,0.36537,0.83153,0.9996,1,0.995,0.9904,0.21242,0.32403,0.76325,0.00114606,0.00114606,0.00114606
12,3762.35,0.26548,0.35438,0.83678,0.99953,1,0.995,0.99412,0.18264,0.29454,0.75858,0.00111776,0.00111776,0.00111776
13,4059.32,0.25319,0.33692,0.82809,0.99959,1,0.995,0.99428,0.14449,0.27276,0.75355,0.00108947,0.00108947,0.00108947
14,4447.56,0.26105,0.34144,0.83929,0.99959,1,0.995,0.9909,0.16063,0.25984,0.75624,0.00106118,0.00106118,0.00106118
